Lattice,SG,N,MAE,Coverage,MeanWidth
C/2m,12,358,0.1489,0.9972,0.3845
Pna21,33,432,0.0408,1.0,0.425
R3c,167,374,0.0667,1.0,0.338
P63/mmc,194,353,0.0707,0.898,0.3324
Ia-3,206,490,0.0471,0.9918,0.3558
Fd-3m,227,393,0.1298,0.5216,0.2541
