Target,cp_cov,cp_width,ens_cov,ens_width,delta
Formation,0.9979166666666667,0.33797385010518466,1.0,0.3379738501051846,-0.002083333333333326
Band Gap,0.9854166666666667,1.4653256169942495,0.99375,1.4653256169942495,-0.008333333333333304
