Lattice,SG,N,Coverage,MeanWidth,MAE
C/2m,12,72,1.0,0.3626,0.0094
Pna21,33,86,1.0,0.317,0.0087
R3c,167,75,1.0,0.3242,0.0106
P63/mmc,194,71,1.0,0.3373,0.0155
Ia-3,206,98,1.0,0.3268,0.0084
Fd-3m,227,78,0.9872,0.3664,0.0409
